"WallType","A","B","C","D","E","F","G","H","I","J","K"
"Stone: granite or whin (as built) ",2.4,2.4,2.4,2.4,1.7,1,0.6,0.6,0.45,0.35,0.3
"Stone: sandstone (as built) ",2.1,2.1,2.1,2.1,1.7,1,0.6,0.6,0.45,0.35,0.3
"Solid brick (as built) ",2.1,2.1,2.1,2.1,1.7,1,0.6,0.6,0.45,0.35,0.3
"Stone/solid brick (external insulation) ",0.6,0.6,0.6,0.6,0.55,0.45,0.35,0.35,0.3,0.25,0.21
"Stone/solid brick (internal insulation) ",0.6,0.6,0.6,0.6,0.55,0.45,0.35,0.35,0.3,0.25,0.21
"Cob (as built) ",0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.45,0.35,0.3
"Cob (external insulation) ",0.4,0.4,0.4,0.4,0.4,0.4,0.35,0.35,0.3,0.25,0.21
"Cob (internal insulation) ",0.4,0.4,0.4,0.4,0.4,0.4,0.35,0.35,0.3,0.25,0.21
"Cavity (as built) ",2.1,1.6,1.6,1.6,1.6,1,0.6,0.6,0.45,0.35,0.3
"Filled cavity",0.5,0.5,0.5,0.5,0.5,0.4,0.35,0.35,0.45,0.35,0.3
"Timber frame (as built) ",2.5,1.9,1.9,1,0.8,0.45,0.4,0.4,0.4,0.35,0.3
"Timber frame (internal insulation) ",0.6,0.55,0.55,0.4,0.4,0.4,0.4,0.4,0.4,0.35,0.3
"System build (as built) ",2,2,2,2,1.7,1,0.6,0.6,0.45,0.35,0.3
"System build (external insulation) ",0.6,0.6,0.6,0.6,0.55,0.45,0.35,0.35,0.3,0.25,0.21
"System build (internal insulation) ",0.6,0.6,0.6,0.6,0.55,0.45,0.35,0.35,0.3,0.25,0.21
