#                           Boiler Efficiency Data File
#                           ===========================
#
#                           (C) Crown Copyright 2015
#
#
#     Boiler efficiency tests are subject to a degree of measurement uncertainty.
#     Consequently small differences in the efficiency values calculated from them
#     are not significant and should not be relied on when comparing boilers.
#     Statistical analysis suggests that if two boilers have SEDBUK values 3   
#     percentage points apart then there is 95% confidence that the boiler with the
#     higher value is more efficient.
#
#
#
# *** Please be aware that the revision numbers on the control lines may not always
# *** be 1 more than the last file you received. There may have been additional
# *** increments in between.
#
$001,386,2015,12,17
#
#
$191,291,25,2015,12,08
# Table 191 (Current fuel prices) follows ...
#
1,1,95,4.32,2015/Dec/08 14:40
1,2,70,8.15,2015/Dec/08 14:40
1,3,0,10.44,2015/Dec/08 14:40
2,4,0,5.06,2015/Dec/08 14:40
3,11,0,4.07,2015/Dec/08 14:40
3,15,0,4.09,2015/Dec/08 14:40
3,12,0,5.09,2015/Dec/08 14:40
3,20,0,4.65,2013/Dec/10 16:52
3,22,0,6.02,2015/Dec/08 14:40
3,23,0,5.48,2015/Dec/08 14:40
3,21,0,3.41,2015/Dec/08 14:40
3,10,0,4.42,2015/Dec/08 14:40
4,30,0,15.32,2015/Dec/08 14:40
4,32,10,18.15,2015/Dec/08 14:40
4,31,0,6.86,2015/Dec/08 14:40
4,34,9,17.43,2015/Dec/08 14:40
4,33,0,9.58,2015/Dec/08 14:40
4,35,43,9.04,2015/Dec/08 14:40
4,36,0,15.32,2015/Dec/08 14:40
5,47,95,5.27,2015/Dec/08 14:40
6,48,0,3.69,2015/Dec/08 14:40
#
# ... end of Table 191 Format 291
#
#
$301,207,57,2015,09,16
# Table 301 (Manufacturers) follows ...
#
020030,Aldes,,,20 Boulevard Joliot Curie,,69694 Vénissieux Cedex,,,France,+33 4 78 77 15 15,www.aldes.com,2009/Jan/19 08:41
020031,NIBE Energy Systems Ltd,,3C Broom Business Park,Bridge Way,,Chesterfield,,S41 9QG,,0845 095 1200,www.nibe.co.uk,2010/Sep/21 17:35
020032,Utek srl,,,Via Provinciale 30,,23030 Mazzo di Valtellina,,,Italy,+39 0342 862031,www.utek.eu,2009/Mar/16 08:37
020033,Vaillant Ltd,,,Nottingham Road,,Belper,Derbyshire,DE56 1JT,,0845 602 2922,www.vaillant.co.uk,2013/Mar/10 11:39
020034,REC Indovent AB,,Box 37,Kärragatan 2,,431 21 Mölndal,,,Sweden,+45 31 67 55 00,www.rec-indovent.se,2009/Jun/18 08:47
020035,Rega Ventilation Ltd,,,21-22 Eldon Way,,Biggleswade,Bedfordshire,SG18 8NH,,01767 600499,www.rega-uk.com,2009/Jun/18 09:02
020036,Glow-worm,Vaillant Industrial UK Ltd,,Nottingham Road,,Belper,Derbyshire,DE56 1JT,,0845 602 2922,www.glow-worm.co.uk,2013/Mar/10 11:43
020037,Zehnder Comfosystems,Unit 1,,Brookside Avenue,,Rustington,West Sussex,BN16 3LF,,01903 777333,www.comfosystems.co.uk,2009/Aug/26 11:35
020038,Beam Vacuum Systems Ltd,,Opus Business Park,35 Aughrim Road,,Magherafelt,Northern Ireland,BT45 6BB,,028 7963 2424,www.beamcentralsystems.com,2009/Sep/29 13:32
020039,AB C.A. Östberg,,Box 54,Industrigatan 2,,SE 772 22 Avesta,,,Sweden,+46 226 860 00,www.ostberg.com,2009/Sep/29 14:25
020040,Kair Ventilation Ltd,,6 Chiltonian,Manor Lane,Lee,London,,SE12 0TX,,08451 662240,www.kair.co.uk,2009/Nov/23 09:26
020041,Polypipe Ltd,,,Sandall Stones Road,Kirk Sandall Industrial Estate,Kirk Sandall,Doncaster,DN3 1QR,,08443 715523,www.polypipe.com/ventilation,2010/Feb/14 19:44
020042,Brink Climate Systems B.V.,,Postbus 11,,,Staphorst,,NL-7950 AA,The Netherlands,00 31 522 469944,www.brinkclimatesystems.nl,2010/Mar/15 15:06
020043,Total Home Environment Ltd,,Swallow House,,Cotswold Business Village,Moreton in Marsh,,GL56 0JQ,,0845 260 0123,www.totalhome.co.uk,2010/Apr/02 17:33
020044,1 World Solar Ltd,,,35 Cobourg Road,Montpelier,Bristol,,BS6 5HT,,0117 941 1663,www.1worldsolar.co.uk,2010/Apr/06 18:32
020045,Daikin Europe NV,,,Zandvoordestraat 300,,BE-8400 Oostende,,,,+32 59 55 81 11,www.daikin.eu,2011/Nov/25 12:04
020046,Dimplex,,,Millbrook House Grange Drive,Hedge End,Southampton,Hampshire,S30 2DF,,0845 600 5111,www.dimplex.co.uk,2010/Apr/21 18:47
020047,Mitsubishi Electric Europe B.V.,UK Branch,,Travellers Lane,,Hatfield,Hertfordshire,AL10 8XB,,01707 282880,heating.mitsubishielectric.co.uk,2010/Apr/21 18:43
020048,Manrose Manufacturing Ltd,,,1 Albion Close,,Slough,Berkshire,SL2 5DT,,01753 691399,www.manrose.co.uk,2010/May/19 10:33
020049,Kingspan Century Ltd,,,Clones Road,,Monaghan,Co. Monaghan,,Ireland,+353 47 81270,www.kingspancentury.com,2010/Jun/21 09:39
020050,Aereco Ventilation Ltd,,Unit 2B,4020 MiddleMarch,Siskin Parkway East,Coventry,,CV3 4SU,,024 7630 7736,www.aereco.co.uk,2010/Jul/13 17:24
020051,Worcester Thermotechnology Ltd,,,Cotswold Way,Warndon,Worcester,Worcestershire,WR4 9SW,,01905 754624,www.worcester-bosch.co.uk,2013/Aug/05 11:24
020052,Brook Design Hardware Ltd,,Brook House,,City Business Park,Lisburn,,BT17 9HU,,028 9061 6505,,2010/Oct/18 08:54
020053,Ferroli,Branston Industrial Estate,,Lichfield Road,Branston,Button-upon-Trent,Staffordshire,DE14 3HD,,0843 479 0009,www.ferroli.co.uk,2014/Jan/10 10:00
020054,ICS Heat Pumps,,3 Trident Business Park,Amy Johnson Way,,Blackpool,Lancashire,FK4 2RP,,08452 417617,www.icsheatpumps.co.uk,2011/Jan/13 18:05
020055,Kingspan Renewables Ltd,,,Tadman Street,,Wakefield,West Yorkshire,WF1 5QU,,01924 376026,www.kingspansolar.com,2011/Jan/13 18:11
020056,Global Energy Systems,,,Dock Road,,Lytham,Lancashire,FY8 5AQ,,03333 444414,www.globalenergysystems.co.uk,2011/Jan/13 18:20
020057,Brookvent,,Brook House,,City Business Park,Lisburn,,BT17 9GW,,028 9061 6505,www.brookvent-air.co.uk,2011/Jan/20 18:21
020058,Ferrob Ltd,Regency House,Kingsclere Park,,Kingsclere,Newbury,Berks,RG20 4SW,,01635 296716,www.ferrob.co.uk,2011/Feb/22 17:28
020059,Ventilation Systems PrJSC,,1,M. Kotsubynskogo str.,,Kiev,,01030,Ukraine,+380 44 406-36-27,www.ventilation-system.com,2015/Sep/15 14:15
020060,Addvent,,,Victoria Road,Avonmouth,Bristol,,BS11 9DB,,0117 983 6400,www.addvent.co.uk,2011/Mar/21 08:54
020061,Maico Ventilation UK Ltd,Unit 56,Trinity Trading Estate,Mill Way,,Sittingbourne,Kent,ME10 2PD,,01795 475711,www.maicoventilation.co.uk,2013/Oct/01 13:30
020063,RenewABILITY Energy Inc.,,Unit 3,136 Ottawa Street South,Kitchener,Ontario,Canada,N2G 3S9,Canada,+1 519-885-0283,www.renewability.com,2011/Jun/16 19:26
020064,Building Products Distributors Ltd,,Unit 1,Avondale Drive,Avondale Business Park,BallyClare,Co Antrim,BT39 9AU,,028 9334 4488,,2011/Jun/16 20:01
020065,Stiebel Eltron UK Ltd,,Unit 12 Stadium Court,Stadium Road,Wirral International Business Park,Bromborough,Wirral,CH62 3RP,,0151 346 2300,www.stiebel-eltron.co.uk,2011/Jul/16 07:13
020066,J Pichler GmbH,,Postfach 32,Karlweg 5,,A-9021 Klagenfurt,,,Austria,+43 463 32769,www.pichlerluft.at,2011/Aug/23 19:19
020067,Danfoss Heat Pump UK,Unit 3,Parkwood Business Park,Parkwood Road,,Sheffield,South Yorkshire,S3 8AL,,0114 270 3900,www.ecoheatpumps.co.uk,2011/Sep/19 20:34
020068,Muelink & Grol B.V.,Duinkerkenstraat 27,P.O. Box 509,,,9700 AM Groningen,,,The Netherlands,+31 50 313 99 44,www.eco-flo.com,2011/Dec/24 14:53
020069,Earth Save Products Ltd,,Woodside Farm,,Long Wittenham,Abington,Oxfordshire,OX14 4PT,,01235 815569,www.esavep.com,2013/Jun/27 13:15
020070,Soler & Palau Ltd,,S&P House,Wentworth Road,Ransomes Europark,Ipswich,,IP3 9SW,,08454 700074,www.solerandpalau.co.uk,2012/Feb/25 08:25
020071,Maico Italia s.p.a.,,,Via Maestri del Lavoro 12,,25017 Lonato del Garda (BS),,,Italy,+39 030 991 3575,www.maico-italia.it,2012/Feb/25 09:13
020072,Nilan A/S,,,Nilanvej 2,,8722 Hedensted,,,Denmark,+45 76 75 25 00,www.nilan.dk,2012/Feb/25 09:47
020073,Dantherm Air Handling A/S,,,Marienlystvej 65,,DK-7800 Skive,,,Denmark,+45 96 14 37 00,www.dantherm.com,2012/Apr/23 18:55
020075,Recoup Energy Solutions Ltd,Claret House,,New Street,,Stradbroke,Suffolk,IP21 5JG,,01379 844010,www.recoupenergysolutions.co.uk,2012/May/16 10:58
020076,Elek-Trends Productions,,,Rue des Bengalis 4,,B-7700 Moeskroen,,,Belgium,+32 5648 1590,www.veneco-ventilation.be,2012/Jun/20 17:52
020077,Hitachi Europe Ltd,,Whitebrook Park,Lower Cookham Road,,Maidenhead,Berks,SL6 8YA,,01628 585394,www.hitachiaircon.com,2012/Jul/20 16:57
020078,Systemair Fans & Spares Ltd,,,Avenue 2,Station Lane Industrial Estate,Witney,Oxfordshire,OX28 4YL,,01993 778481,www.villavent.co.uk,2013/Nov/25 09:40
020079,Vaillant Group UK Ltd,,,Nottingham Road,,Belper,Derbyshire,DE56 1JT,,01773 596019,www.vaillant.co.uk,2012/Jul/25 10:20
020080,Samsung Electronics (UK) Ltd,,Samsung House,1000 Hillswood Drive,,Chertsey,Surrey,KT16 0PS,,01932 455000,www.samsung.com/uk,2012/Nov/17 09:58
020081,InterActive (Flue Systems) Ltd,2 The Oaks,Mill Farm Churchyard,Stratford Road,,Beachampton,Bucks,MK19 6DS,,01908 569887,www.interactive-group.org,2012/Nov/26 10:39
020082,Emmeti SpA,,,Via Brigata Osoppo 166,,33074 Fontanafredda (PN),,,Italy,+39 0434 567911,www.emmeti.com,2012/Dec/11 19:39
020083,Redring Xpelair Group Ltd,,Newcombe House,Newcombe Way,Orton Southgate,Peterborough,,PE2 6SE,,0844 372 7761,www.xpelair.co.uk,2013/Jan/24 13:04
020084,FRÄNKISCHE ROHRWERKE,,,Hellinger Straße 1,,97486 Köningsberg/Bayern,,,Germany,+49 9525 88-0,www.fraenkische.com,2013/Jan/24 13:24
020085,Sunergy Systems Ltd,Units 1&2,Ivy House Farm,Wolverhampton Road,,Cheslyn Hay,Staffordshire,WS6 7HX,,01922 419405,www.minus7.co.uk,2013/May/14 11:41
020086,Reaqua Systems Ltd,,Fairmont House,Oakbank Park Way,,Livingston,,EH53 0TH,,01506 444080,www.reaquasystems.com,2013/Jul/17 10:25
020087,Panasonic Marketing Europe GmbH,,Panasonic House,Willoughby Road,,Bracknell,Berkshire,RG12 8FP,,01344 853182,www.panasonic.co.uk/aircon,2013/Jun/21 08:44
020088,Vokera,Borderlake House,Unit 7,Riverside Industrial Estate,,London Colney,,AL2 1HG,,08443 910999,www.vokera.co.uk,2013/Aug/05 11:05
020089,Grant Engineering (UK),,Hopton House,,Hopton Industrial Estate,Devizes,Wiltshire,SN10 2EU,,01380 736920,www.grantuk.com,2014/Jun/11 11:00
020090,Elta Fans Ltd,,,46 Third Avenue,Pensnett Trading Estate,Kingswinford,West Midlands,DY6 7US,,01384 275800,www.eltafans.com,2014/Jun/11 11:00
020091,Lindab Ltd,Units 9 & 10 Carousel Way,Riverside Business Park,,,Northampton,,NN3 9HG,,01604 788350,www.lindab.com,2014/Jun/11 11:00
020092,Renson Fabrications Ltd,,Fairfax Units 1-5,Bircholt Road,Parkwood Industrial Estate,Maidstone,Kent,ME15 9SF,,01622 754 123,www.rensonuk.net,2014/Jun/11 11:00
020093,Lailey & Coates Ltd,,,951 Yeovil Road,Slough Trading Estate,Slough,,SL1 4NH,,01753 537830,www.laileyandcoates.com,2014/Jun/13 12:00
020094,Viessmann Ltd,,,Hortonwood 30,,Telford,Shropshire,TF1 7YP,,01952 675000,www.viessmann.co.uk,2014/Jun/13 12:00
020095,Solarcrown Commercial Ltd,,Sandwash Business Park,Sandwash Close,Rainford Industrial Estate,Rainford,,WA11 8LY,,0800 678 3757,www.solarkinguk.com,2014/Jul/11 12:00
020096,LUNOS Lüftungstechnik GmbH,,,Wilhelmstr. 31 - 34,,Berlin,,13593,Germany,+49 30 362001-0,www.lunos.de,2014/Jul/17 11:00
020098,Hydor Ltd,Unit 8,Parkers Close,Downton Business Centre,Downton,Salisbury,Wiltshire,SP5 3RB,,01725 511422,www.hydor.co.uk,2014/Oct/09 12:15
020099,Ideal Boilers,PO Box 103,National Avenue,,,Kingston Upon Hull,East Yorkshire,HU5 4JN,UK,01482 492251,www.idealboilers.com,2014/Nov/14 07:00
020100,Ochsner Wärmepumpen GmbH,,Ochsner Strasse 1,,,Haag,,A3350,Austria,+43 504 2458,www.ochsner.at,2014/Dec/16 13:32
020101,Baxi Heating UK,Brooks House,,Coventry Road,,Warwick,Warwickshire,CV34 4LL,United Kingdom,0844 871 1525,www.baxi.co.uk,2015/Mar/16 15:17
020102,Ariston Thermo UK,Ariston Building,,Hillbottom Road,,High Wycombe,Buckinghamshire,HP12 4HJ,United Kingdom,0333 2406666,www.ariston.co.uk,2015/Mar/16 15:17
020103,Warmflow Engineering Ltd,,Lissue Industrial Estate,Moira Road,,Lisburn,,BT28 2RF,,028 9262 1515,www.warmflow.co.uk,2015/Apr/15 12:04
020104,Salda UAB,,Ragaines g.100,,,Šiauliai,,LT-78109,Lithuania,+370 41 540 415,www.salda.lt,2015/Sep/16 14:16
300900,SAP Illustrative Products,,,,,(no address),,,,,,2011/Sep/30 08:51
300901,Notional dwelling,,,,,(no address),,,,,,2013/Sep/16 10:30
300902,Backwards compatability,,,,,(no address),,,,,,2013/Nov/21 09:00
020089,Grant Engineering (UK),,Hopton House,,Hopton Industrial Estate,Devizes,Wiltshire,SN10 2EU,,01380 736920,www.grantuk.com,2013/Dec/13 08:59
020090,Elta Fans Ltd,46 Third Avenue,,Pensnett Trading Estate,,Kingswinford,West Midlands,DY6 7US,,01384 275800,www.eltafans.com,2014/Feb/18 14:00
#
# ... end of Table 301 Format 207
#
#
$321,421,75,2014,02,18
# Table 321 (MEV centralised and MVHR) follows ...
#
500002,020002,Vent Axia Ltd,Vent Axia,MVDC - MS,,,2012,1,2,3,1,House 2 75%,0.24,,2,House 2 75%,0.18,,3,House 3 75%,0.21,,2013/Oct/02 17:18
500003,020003,The Nuaire Group,Nuaire,ES MEV,,2006,2007,1,2,3,1,100% variable step-less,0.34,,2,100% variable step-less,0.31,,3,100% variable step-less,0.33,,2007/Oct/18 08:54
500004,020004,Greenwood Air Management Ltd,Greenwood,CMFe,,,current,1,2,3,1,1,0.5,,2,1,0.34,,3,2,0.38,,2013/Oct/24 09:06
500005,020004,Greenwood Air Management Ltd,Greenwood,MVHR 90R,,,current,3,2,4,1,18%,0.79,81,2,23%,0.73,81,3,29%,0.77,80,4,36%,0.85,80,2013/Oct/24 09:14
500007,020002,Vent Axia Ltd,Vent Axia,HRE 350,,,2010,3,2,4,1,50 m³,0.94,89,2,60 m³,0.92,90,3,85 m³,0.89,89,4,110 m³,0.92,88,2013/Oct/02 17:17
500011,020001,Applied Energy Products Ltd,Xpelair,Xcell 270 DC,,,current,3,2,7,1,1,0.99,91,2,1,0.98,91,3,4,1.07,90,4,4,1.06,90,5,6,1.13,90,6,8,1.39,89,7,8,1.38,89,2013/Oct/24 09:14
500012,020004,Greenwood Air Management Ltd,Greenwood,Fusion HVR1,,,current,3,2,3,1,43%,0.71,65,2,54%,0.69,63,3,64%,0.73,60,2013/Oct/24 09:14
500013,020003,The Nuaire Group,Nuaire,NU-MVHR 70,,2007,2007,3,2,4,1,100% variable stepless,0.79,69,2,100% variable stepless,0.75,69,3,100% variable stepless,0.81,69,4,100% variable stepless,0.92,67,2013/Oct/24 09:14
500021,020008,Passivent Ltd,Passivent,A151 DC,,,current,1,2,3,1,100% variable,0.36,,2,100% variable,0.3,,3,100% variable,0.29,,2013/Oct/24 09:06
500022,020007,Titon,Titon,WHR 350,,2007,2007,3,2,7,1,50m³,1.12,89,2,70m³,1.06,89,3,90m³,1.13,88,4,115m³,1.17,87,5,135m³,1.28,87,6,155m³,1.42,86,7,170m³,1.57,85,2013/Oct/24 09:14
500023,020002,Vent Axia Ltd,Vent Axia,LoWatt HR204,,,2011,3,2,2,1,2,0.81,63,2,3,0.95,57,2013/Oct/02 17:17
500024,020009,Vortice Ltd,Vortice,CVE ECO 2,,2007,current,1,2,4,1,1,0.22,,2,1,0.2,,3,2,0.21,,4,2,0.24,,2013/Oct/24 09:06
500025,020009,Vortice Ltd,Vortice,HRU ECO 3 RF,,,current,3,2,7,1,1-100% variable,0.58,93,2,1-100% variable,0.53,93,3,1-100% variable,0.6,91,4,1-100% variable,0.64,89,5,1-100% variable,0.71,88,6,1-100% variable,0.83,86,7,1-100% variable,0.93,86,2013/Oct/24 09:14
500026,020078,Villavent Ltd,Villavent,VM2,,,current,3,2,5,2,44,1.1,86,3,44,0.86,84,4,52,0.84,83,5,60,0.94,82,6,70,0.96,82,2013/Oct/24 09:14
500027,020003,The Nuaire Group,Nuaire,MEVDC-ES,,2007,current,1,2,3,1,100 variable stepless,0.34,,2,100% variable stepless,0.31,,3,100% variable stepless,0.33,,2007/Oct/18 08:53
500028,020003,The Nuaire Group,Nuaire,MRXBOX70,,2007,current,3,2,4,1,100% variable stepless,0.79,69,2,100% variable stepless,0.75,69,3,100% variable stepless,0.81,69,4,100% variable stepless,0.92,67,2013/Oct/24 09:14
500029,020003,The Nuaire Group,Nuaire,MRXBOX90L,,2007,current,3,2,7,1,50m³,1.21,90,2,70m³,1.05,89,3,90m³,1.07,87,4,115m³,1.12,86,5,130m³,1.24,86,6,150m³,1.31,85,7,170m³,1.53,85,2013/Oct/24 09:14
500030,020007,Titon,Titon,Q Plus WCME 100,,2007,current,1,2,3,1,100% variable,0.2,,2,100% variable,0.18,,3,100% variable,0.18,,2013/Oct/24 09:06
500031,020011,Vectaire Ltd,Vectaire,MBOX 125/2DC,,,current,1,2,4,1,25%,0.38,,2,25%,0.41,,3,50%,0.49,,4,50%,0.65,,2013/Oct/24 09:06
500032,020001,Applied Energy Products Ltd,Xpelair,Xplus 340,,,current,1,2,3,1,1,0.38,,2,1,0.3,,3,1,0.24,,2013/Oct/24 09:06
500033,020001,Applied Energy Products Ltd,Xpelair,Xplus 250DC 8CV,,,current,1,2,4,1,2,0.52,,2,2,0.27,,3,3,0.34,,4,5,0.5,,2013/Oct/24 09:06
500034,020007,Titon,Titon,Q Plus WHR 350,,,current,3,2,7,1,50m³,1.12,89,2,70m³,1.06,89,3,90m³,1.13,88,4,115m³,1.17,87,5,135m³,1.28,87,6,155m³,1.42,86,7,170m³,1.57,85,2013/Oct/24 09:14
500035,020007,Titon,Titon,Q Plus WHR 180,,,current,3,2,3,1,50m³,1.07,85,2,85m³,0.96,84,3,105m³,0.99,83,2013/Oct/24 09:14
500036,020012,MTD Solutions Ltd,MTD Solutions,MTD-ERV 140 L,,2007,current,3,2,4,1,15,1.12,82,2,28,1.03,81,3,45,1.16,80,4,66,1.3,79,2013/Oct/24 09:14
500037,020012,MTD Solutions Ltd,MTD Solutions,MTD-ERV 350,,2007,current,3,2,7,1,21,0.75,86,2,27,0.68,84,3,32,0.67,84,4,37,0.71,84,5,42,0.78,83,6,47,0.88,82,7,53,0.99,82,2013/Oct/24 09:14
500038,020024,Itho BV,Xpelair,Xcell 301DC,,2008,current,3,2,7,1,100% variable,0.54,92,2,100% variable,0.53,91,3,100% variable,0.59,90,4,100% variable,0.62,88,5,100% variable,0.71,87,6,100% variable,0.82,85,7,100% variable,0.9,85,2013/Oct/24 09:14
500039,020003,The Nuaire Group,Nuaire,MRXBOX90S,,2008,current,3,2,5,1,50m³,1.25,81,2,75m³,0.95,85,3,105m³,1.09,83,4,125m³,1.19,82,5,145m³,1.39,82,2013/Oct/24 09:14
500040,020013,Johnson & Starley Ltd,Johnson & Starley,CE300 Premier,,2007,current,1,2,5,1,100% variable,0.26,,2,100% variable,0.24,,3,100% variable,0.29,,4,100% variable,0.36,,5,100% variable,0.46,,2013/Oct/24 09:06
500041,020013,Johnson & Starley Ltd,Johnson & Starley,CE180 Premier,,2007,current,1,2,4,1,100% variable,0.4,,2,100% variable,0.45,,3,100% variable,0.75,,4,100% variable,1.03,,2008/May/03 10:29
500042,020014,Itho Ventilation Ltd,Itho,CVE ECO 2 HP,,2009,current,1,2,6,1,100% variable,0.18,,2,100% variable,0.17,,3,100% variable,0.18,,4,100% variable,0.2,,5,100% variable,0.22,,6,100% variable,0.27,,2013/Oct/24 09:06
500043,020014,Itho Ventilation Ltd,Itho,CVE ECO 2,,2008,current,1,2,5,1,100% variable,0.18,,2,100% variable,0.17,,3,100% variable,0.18,,4,100% variable,0.2,,5,100% variable,0.22,,2013/Oct/24 09:06
500044,020014,Itho Ventilation Ltd,Itho,HRU ECO 4,,2008,current,3,2,7,1,100% variable,0.46,91,2,100% variable,0.46,90,3,100% variable,0.5,88,4,100% variable,0.56,88,5,100% variable,0.65,87,6,100% variable,0.75,87,7,100% variable,0.87,87,2013/Oct/24 09:14
